,healthy_1,healthy_2,healthy_3,autoimmune_1,autoimmune_2,cart_1,cart_2,til_1,til_2
healthy_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
autoimmune_1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
autoimmune_2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cart_1,0.0,0.0,0.0,0.0,0.0,1.0,0.006493506493506494,0.0,0.0
cart_2,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,1.0,0.0,0.0
til_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
til_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
